job_title,location,company,salary,salary_band,z_salary
Data Scientist,new_york,NYC Careers,81167.0,MID-HIGH,0.364275366875077
Data Scientist,new_york,"Amazon Web Services, Inc.",114700.0,HIGH,1.4626105230013493
Data Scientist II - Algorithmic Justice Specialist,new_york,ACLU,115638.0,HIGH,1.4933336428071062
Data Scientist,new_york,DojoMojo,121845.0,HIGH,1.6966368460420023
Senior Data Scientist,new_york,"Amazon Web Services, Inc.",116200.0,HIGH,1.5117413116033058
DATA SCIENTIST,new_york,Harmony Labs,112000.0,HIGH,1.3741751035178276
Staff Data Scientist,new_york,Mandiant,140000.0,HIGH,2.291283157421016
Lead Data Scientist,new_york,S&P Global,105900.0,HIGH,1.1743765632032044
Senior Data Analyst/Data Scientist/Data Analyst,new_york,Research Foundation of The City University of New...,62500.0,MID-LOW,-0.24714092034673812
Data Scientist,new_york,Fund For Public Health In New York Inc,90000.0,HIGH,0.653590204022465
Sr. Data Scientist,new_york,S&P Global,105900.0,HIGH,1.1743765632032044
Product Analyst/Data Scientist,new_york,Salesforce,82400.0,MID-HIGH,0.4046608751058853
Associate Data & Machine Learning Engineer,new_york,"Amazon Web Services, Inc.",82600.0,HIGH,0.4112116469194795
Data Scientist,new_york,DISH,100550.0,HIGH,0.9991434171895593
Senior Data Scientist,new_york,OnPoint,130000.0,HIGH,1.963744566741306
Environmental Health Data Scientist,new_york,NYC Careers,84640.0,HIGH,0.47802951941814037
Chief Data Scientist ,new_york,NYC Careers,94688.5,HIGH,0.8071566722626472
City Research Scientist I / Data Analyst,new_york,NYC Careers,64140.0,MID-HIGH,-0.19342459147526564
"Associate Partner, Enterprise Strategy ",new_york,IBM,225000.0,HIGH,5.075361178198554
Senior Data Analyst - Visualization and Reporting,new_york,Fund For Public Health In New York Inc,90803.0,HIGH,0.6798915528540458
City Research Scientist III / Director of Data,new_york,NYC Careers,94734.0,HIGH,0.8086469728502399
"Senior Data Analyst, Bureau of Tuberculosis Control",new_york,NYC Careers,81167.0,MID-HIGH,0.364275366875077
Sr. Data & ML Engineer,new_york,"Amazon Web Services, Inc.",122300.0,HIGH,1.7115398519179292
Machine Learning Visualization Engineer,new_york,S&P Global,128850.0,HIGH,1.9260776288131394
City Research Scientist I / Policy and Data Analyst,new_york,NYC Careers,64140.0,MID-HIGH,-0.19342459147526564
Senior Data Scientist- Boost Mobile,new_york,DISH,86400.0,HIGH,0.5356763113777694
Data Engineer - Data Science Platforms & Infrastructure,new_york,S&P Global,140800.0,HIGH,2.317486244675393
"Senior Data Analyst, Mayor's Office of M/WBE",new_york,Mayor's Office of Contract Services,80000.0,MID-HIGH,0.3260516133427548
Data Engineer,new_york,Fund For Public Health In New York Inc,125000.0,HIGH,1.799975271401451
Senior Research Analyst,new_york,NYC Careers,81167.0,MID-HIGH,0.364275366875077
Data Scientist- Test & Trace,new_york,NYC Health + Hospitals,91963.0,HIGH,0.7178860293728921
Data Scientist,new_york,Flipped.ai,159081.5,HIGH,2.9162759192265053
Data Scientist – Deep learning,new_york,Dataworks,130000.0,HIGH,1.963744566741306
Data Scientist,new_york,Info Origin Inc,150000.0,HIGH,2.6188217481007268
Data Scientist,new_york,technovasystems,88313.5,HIGH,0.5983508207043319
Data Scientist,new_york,EAZZY CONSULTING LLC,129657.0,HIGH,1.952509993080992
Principal Data Scientist,new_york,Trace Technosoft,260000.0,HIGH,6.221746245577539
Data Scientist,new_york,"TechIntelli Solutions, Inc.",62500.0,MID-LOW,-0.24714092034673812
Researcher ,new_york,NYU's Center for Social Media and Politics,110000.0,HIGH,1.3086673853818855
