job_title,location,company,salary
Data Scientist,"Manhattan, NY",NYC Careers,81167.0
Data Scientist - Nationwide Opportunities,"New York, NY+2 locations","Amazon Web Services, Inc.",114700.0
Data Scientist II - Algorithmic Justice Specialist,"New York, NY 10004 (Financial District area)+1 location•Remote",ACLU,115638.0
Data Scientist,"New York, NY 10012 (SoHo area)•Remote",DojoMojo,121845.0
Senior Data Scientist - Nationwide Opportunities,"New York, NY","Amazon Web Services, Inc.",116200.0
DATA SCIENTIST,"New York, NY",Harmony Labs,112000.0
newStaff Data Scientist - REMOTE USA,"New York, NY 10018 (Garment District area)•Remote",Mandiant,140000.0
newLead Data Scientist,"New York, NY 10041 (Financial District area)+1 location",S&P Global,105900.0
Senior Data Analyst/Data Scientist/Data Analyst,"New York, NY",Research Foundation of The City University of New...,62500.0
Data Scientist,"Long Island City, NY 11101",Fund For Public Health In New York Inc,90000.0
Sr. Data Scientist,"New York, NY 10041 (Financial District area)",S&P Global,105900.0
Product Analyst/Data Scientist,"New York, NY 10036 (Garment District area)",Salesforce,82400.0
Associate Data & Machine Learning Engineer,"New York, NY","Amazon Web Services, Inc.",82600.0
Data Scientist,"New York, NY 10014 (West Village area)",DISH,100550.0
Senior Data Scientist,"New York, NY 10118 (Chelsea area)+1 location",OnPoint,130000.0
"Environmental Health Data Scientist, Bureau of Environmental...","New York, NY 10310 (West Brighton area)",NYC Careers,84640.0
Chief Data Scientist – Racial Profiling and Biased Policing...,"New York, NY",NYC Careers,94688.5
"City Research Scientist I / Data Analyst, Bureau of Hepatiti...","Queens, NY 11101+1 location",NYC Careers,64140.0
"Associate Partner, Enterprise Strategy (Data, Analytics, & A...","New York, NY 10001 (Chelsea area)",IBM,225000.0
Senior Data Analyst - Visualization and Reporting,"Long Island City, NY 11101•Remote",Fund For Public Health In New York Inc,90803.0
"City Research Scientist III / Director of Data, Analytics &...","Queens, NY 11101",NYC Careers,94734.0
"Senior Data Analyst, Bureau of Tuberculosis Control","Queens, NY 11101+2 locations",NYC Careers,81167.0
Sr. Data & ML Engineer,"New York, NY","Amazon Web Services, Inc.",122300.0
Machine Learning Visualization Engineer,"New York, NY 10004 (Financial District area)+3 locations",S&P Global,128850.0
"City Research Scientist I / Policy and Data Analyst, Bureau...","Queens, NY 11101",NYC Careers,64140.0
Senior Data Scientist- Boost Mobile,"Roseland, NJ 07068",DISH,86400.0
Data Engineer - Data Science Platforms & Infrastructure,"New York, NY 10041 (Financial District area)",S&P Global,140800.0
"Senior Data Analyst, Mayor's Office of M/WBE","New York, NY 10310 (West Brighton area)",Mayor's Office of Contract Services,80000.0
Data Engineer,"Long Island City, NY 11101",Fund For Public Health In New York Inc,125000.0
